class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,4,12,0.0012006818756438165,3.869669530222119e-05,0.9632834105324968
sigwind_rptdist_2hr,4,12,0.0669068154406518,0.0002638411043333263,0.9841126910567103
hailone_rptdist_2hr,4,12,0.023500401530658244,0.0005734146667510958,0.975235313396434
wind_rptdist_2hr,4,12,0.11248608889733935,0.0019383526465021705,0.9810108265574128
torn_rptdist_2hr,4,12,0.06448250804724476,0.0002849483926799924,0.9901436925458
any_rptdist_2hr,4,12,0.11506564554797083,0.002423820278475491,0.9768264363951981
sighail_rptdist_2hr,5,12,0.0076777458982127955,3.869669530222119e-05,0.9658888223308402
sigwind_rptdist_2hr,5,12,0.06758561042138711,0.0002638411043333263,0.9864804043347045
hailone_rptdist_2hr,5,12,0.019591829788887072,0.0005734146667510958,0.9734579799658103
wind_rptdist_2hr,5,12,0.10895065566804618,0.0019383526465021705,0.9801358691986102
torn_rptdist_2hr,5,12,0.05713695466823843,0.0002849483926799924,0.9915962748658578
any_rptdist_2hr,5,12,0.10856049157156145,0.002423820278475491,0.9760179603630117
sighail_rptdist_2hr,6,12,0.0008069416679808983,3.869669530222119e-05,0.9468804939040751
sigwind_rptdist_2hr,6,12,0.047017085334621234,0.0002638411043333263,0.9856414966201832
hailone_rptdist_2hr,6,12,0.02460557197715818,0.0005734146667510958,0.972391515124005
wind_rptdist_2hr,6,12,0.12023344875808573,0.0019383526465021705,0.981039264150866
torn_rptdist_2hr,6,12,0.05678499172920426,0.0002849483926799924,0.9910003018855006
any_rptdist_2hr,6,12,0.11689010455073934,0.002423820278475491,0.9763744495604163
sighail_rptdist_2hr,7,12,-0.014948965729726593,3.869669530222119e-05,0.9525374660871105
sigwind_rptdist_2hr,7,12,0.045425911339630254,0.0002638411043333263,0.9881023410641585
hailone_rptdist_2hr,7,12,0.02182593778826336,0.0005734146667510958,0.9749010308922598
wind_rptdist_2hr,7,12,0.10963515241680721,0.0019383526465021705,0.9824137393051892
torn_rptdist_2hr,7,12,0.05548594709355281,0.0002849483926799924,0.9899169200154605
any_rptdist_2hr,7,12,0.11102134945274322,0.002423820278475491,0.9784924539311101
sighail_rptdist_2hr,8,12,-0.0002997240398510126,3.869669530222119e-05,0.9575784653831872
sigwind_rptdist_2hr,8,12,0.07974946862420229,0.0002638411043333263,0.9887172882644174
hailone_rptdist_2hr,8,12,0.026541880165015574,0.0005734146667510958,0.9742234285952812
wind_rptdist_2hr,8,12,0.11316535037426367,0.0019383526465021705,0.9811362641392428
torn_rptdist_2hr,8,12,0.049713141895531,0.0002849483926799924,0.9906193718218449
any_rptdist_2hr,8,12,0.11343377207354655,0.002423820278475491,0.9774655338030288
sighail_rptdist_2hr,9,12,-0.0026699686376037146,3.869669530222119e-05,0.9161501310781349
sigwind_rptdist_2hr,9,12,0.030650204081796084,0.0002638411043333263,0.9868488002617994
hailone_rptdist_2hr,9,12,0.026577429255749352,0.0005734146667510958,0.9709254444850589
wind_rptdist_2hr,9,12,0.11414151795741989,0.0019383526465021705,0.9817659148700059
torn_rptdist_2hr,9,12,0.04073098639159345,0.0002849483926799924,0.9890855727880957
any_rptdist_2hr,9,12,0.1149224582076469,0.002423820278475491,0.9778875178428214
sighail_rptdist_2hr,ensmean,12,0.00012278515146646463,3.869669530222119e-05,0.9582046725029512
sigwind_rptdist_2hr,ensmean,12,0.05713964858602316,0.0002638411043333263,0.9874117629119794
hailone_rptdist_2hr,ensmean,12,0.02831750646275588,0.0005734146667510958,0.9758265053936417
wind_rptdist_2hr,ensmean,12,0.12600650938102098,0.0019383526465021705,0.9823039614306528
torn_rptdist_2hr,ensmean,12,0.06400947803048773,0.0002849483926799924,0.9916777522376301
any_rptdist_2hr,ensmean,12,0.12504956821562507,0.002423820278475491,0.9785971770952644
sighail_rptdist_2hr,0,13,-0.0008886286571763158,4.925033947555424e-05,0.9436420208510073
sigwind_rptdist_2hr,0,13,0.03529882344592339,0.0002251444090311051,0.9877555931516055
hailone_rptdist_2hr,0,13,0.018720452223872197,0.0005804504295333178,0.9730965234772033
wind_rptdist_2hr,0,13,0.09831103913491701,0.0019102095953732823,0.979450564842784
torn_rptdist_2hr,0,13,0.03966115547621518,0.00030253779963554747,0.9870142504219461
any_rptdist_2hr,0,13,0.10264876753356678,0.002416784515693269,0.9753210779246728
sighail_rptdist_2hr,1,13,-0.004671843659578956,4.925033947555424e-05,0.9527753933185106
sigwind_rptdist_2hr,1,13,0.04298944402374749,0.0002251444090311051,0.9875296283313042
hailone_rptdist_2hr,1,13,0.018949725467161338,0.0005804504295333178,0.9729188526197998
wind_rptdist_2hr,1,13,0.10817338970333046,0.0019102095953732823,0.9813359542961271
torn_rptdist_2hr,1,13,0.05333728573605956,0.00030253779963554747,0.9889498139377759
any_rptdist_2hr,1,13,0.11097601341864338,0.002416784515693269,0.9765964760855786
sighail_rptdist_2hr,2,13,-0.003478166711404107,4.925033947555424e-05,0.9465544675273504
sigwind_rptdist_2hr,2,13,0.041669908574197057,0.0002251444090311051,0.9872806821740477
hailone_rptdist_2hr,2,13,0.02380981653289349,0.0005804504295333178,0.9742425149071471
wind_rptdist_2hr,2,13,0.11474128849195353,0.0019102095953732823,0.9805062516885936
torn_rptdist_2hr,2,13,0.0522989845194729,0.00030253779963554747,0.9876135964872081
any_rptdist_2hr,2,13,0.118495141365622,0.002416784515693269,0.9766767851874607
sighail_rptdist_2hr,3,13,-0.0010543206798729887,4.925033947555424e-05,0.9375814178363361
sigwind_rptdist_2hr,3,13,0.03789315775538682,0.0002251444090311051,0.98457298036932
hailone_rptdist_2hr,3,13,0.01921762899433077,0.0005804504295333178,0.972304199131304
wind_rptdist_2hr,3,13,0.11247802442126908,0.0019102095953732823,0.979460732997581
torn_rptdist_2hr,3,13,0.04379424866932091,0.00030253779963554747,0.9868344363728735
any_rptdist_2hr,3,13,0.11225723959989908,0.002416784515693269,0.9752091569469196
sighail_rptdist_2hr,4,13,0.0024575671716757785,4.925033947555424e-05,0.9667847895399189
sigwind_rptdist_2hr,4,13,0.06980075453524848,0.0002251444090311051,0.986399831719435
hailone_rptdist_2hr,4,13,0.02669183638715844,0.0005804504295333178,0.9763097239195191
wind_rptdist_2hr,4,13,0.12332851513040133,0.0019102095953732823,0.9806113539946734
torn_rptdist_2hr,4,13,0.05212298332159182,0.00030253779963554747,0.9878187183049352
any_rptdist_2hr,4,13,0.1264858323971766,0.002416784515693269,0.9762678840203212
sighail_rptdist_2hr,5,13,0.009152618175263805,4.925033947555424e-05,0.9705624263721417
sigwind_rptdist_2hr,5,13,0.07059870789636757,0.0002251444090311051,0.9870788257658394
hailone_rptdist_2hr,5,13,0.024384956239910438,0.0005804504295333178,0.974570465209226
wind_rptdist_2hr,5,13,0.11324640825188181,0.0019102095953732823,0.9798559149422199
torn_rptdist_2hr,5,13,0.05908296945627911,0.00030253779963554747,0.9915924196338202
any_rptdist_2hr,5,13,0.11474359290227398,0.002416784515693269,0.9757696421534111
sighail_rptdist_2hr,6,13,0.0033730469921305906,4.925033947555424e-05,0.9483435239649883
sigwind_rptdist_2hr,6,13,0.043171364201839424,0.0002251444090311051,0.9859383356849802
hailone_rptdist_2hr,6,13,0.025064447882603758,0.0005804504295333178,0.9716973001432183
wind_rptdist_2hr,6,13,0.11874153721214853,0.0019102095953732823,0.9806527795701058
torn_rptdist_2hr,6,13,0.05063491195798708,0.00030253779963554747,0.9887810068244638
any_rptdist_2hr,6,13,0.11660377068951644,0.002416784515693269,0.9754558794637145
sighail_rptdist_2hr,7,13,-0.005683355414722202,4.925033947555424e-05,0.9570796075459257
sigwind_rptdist_2hr,7,13,0.04376612811031344,0.0002251444090311051,0.9890593716792517
hailone_rptdist_2hr,7,13,0.02409527928000854,0.0005804504295333178,0.9763226089765968
wind_rptdist_2hr,7,13,0.11126738025331295,0.0019102095953732823,0.9821662605668565
torn_rptdist_2hr,7,13,0.053080356704707676,0.00030253779963554747,0.9875938126454226
any_rptdist_2hr,7,13,0.11447714961938527,0.002416784515693269,0.9777211217609023
sighail_rptdist_2hr,8,13,0.003093003096435898,4.925033947555424e-05,0.9626249411982293
sigwind_rptdist_2hr,8,13,0.06288015927414559,0.0002251444090311051,0.9890860091379954
hailone_rptdist_2hr,8,13,0.027559161514069452,0.0005804504295333178,0.9763322087707773
wind_rptdist_2hr,8,13,0.11551791547395951,0.0019102095953732823,0.9807171735564857
torn_rptdist_2hr,8,13,0.045406839196434734,0.00030253779963554747,0.9896296252044261
any_rptdist_2hr,8,13,0.11513113798898378,0.002416784515693269,0.9772291062811695
sighail_rptdist_2hr,9,13,0.00023701335880776941,4.925033947555424e-05,0.9241605419010362
