class,mem,fhr,bss,base rate,auc
any_rptdist_2hr,5,12,0.11164445992970085,0.002423820278475491,0.9773703432566956
sighail_rptdist_2hr,6,12,-0.0022696472898890985,3.869669530222119e-05,0.9627720187120155
sigwind_rptdist_2hr,6,12,0.05051367391386441,0.0002638411043333263,0.9874256035638506
hailone_rptdist_2hr,6,12,0.01858071207958578,0.0005734146667510958,0.9732363450509789
wind_rptdist_2hr,6,12,0.1159398639210879,0.0019383526465021705,0.9799575129368021
torn_rptdist_2hr,6,12,0.05624279512036412,0.0002849483926799924,0.9873844529879475
any_rptdist_2hr,6,12,0.11288981424873834,0.002423820278475491,0.9761247000916877
sighail_rptdist_2hr,7,12,-0.0022969120129603393,3.869669530222119e-05,0.9401290984504412
sigwind_rptdist_2hr,7,12,0.05407646486444062,0.0002638411043333263,0.9849140178825914
hailone_rptdist_2hr,7,12,0.02646225020177173,0.0005734146667510958,0.9743396392733311
wind_rptdist_2hr,7,12,0.11850767449367094,0.0019383526465021705,0.981066975691714
torn_rptdist_2hr,7,12,0.06642315711167257,0.0002849483926799924,0.9905120024140414
any_rptdist_2hr,7,12,0.11773218477342418,0.002423820278475491,0.9773484758152777
sighail_rptdist_2hr,8,12,-0.024139339779313262,3.869669530222119e-05,0.9612263297386656
sigwind_rptdist_2hr,8,12,0.07377818023588512,0.0002638411043333263,0.9871247687848729
hailone_rptdist_2hr,8,12,0.005164282098970463,0.0005734146667510958,0.9762406550710516
wind_rptdist_2hr,8,12,0.11587860522304494,0.0019383526465021705,0.9817216576457776
torn_rptdist_2hr,8,12,0.06453747352219408,0.0002849483926799924,0.9921740235020621
any_rptdist_2hr,8,12,0.11156212961633372,0.002423820278475491,0.9780546623798327
sighail_rptdist_2hr,9,12,-0.006474807750334488,3.869669530222119e-05,0.9219975559372783
sigwind_rptdist_2hr,9,12,0.050900957786163104,0.0002638411043333263,0.9867780018086681
hailone_rptdist_2hr,9,12,0.01902050511637876,0.0005734146667510958,0.970966214857661
wind_rptdist_2hr,9,12,0.09625464005979545,0.0019383526465021705,0.9809641065115717
torn_rptdist_2hr,9,12,0.051080740125403645,0.0002849483926799924,0.9899084051848194
any_rptdist_2hr,9,12,0.09205206008189915,0.002423820278475491,0.976571773469767
sighail_rptdist_2hr,ensmean,12,-0.0014223725163795553,3.869669530222119e-05,0.9600381992739451
sigwind_rptdist_2hr,ensmean,12,0.05786290949283723,0.0002638411043333263,0.987545078885851
hailone_rptdist_2hr,ensmean,12,0.02722228976166141,0.0005734146667510958,0.9767531459967824
wind_rptdist_2hr,ensmean,12,0.12743483595935878,0.0019383526465021705,0.9828088686474947
torn_rptdist_2hr,ensmean,12,0.06667326023932296,0.0002849483926799924,0.9917279289181938
any_rptdist_2hr,ensmean,12,0.12518591876969276,0.002423820278475491,0.9791937014480423
sighail_rptdist_2hr,0,13,0.003332270355247635,4.925033947555424e-05,0.9438121439226108
sigwind_rptdist_2hr,0,13,0.03518012925723224,0.0002251444090311051,0.9888299981438997
hailone_rptdist_2hr,0,13,0.026101746258587855,0.0005804504295333178,0.9741490342447058
wind_rptdist_2hr,0,13,0.11141355880468673,0.0019102095953732823,0.9816731488734636
torn_rptdist_2hr,0,13,0.040523551723022355,0.00030253779963554747,0.9887270769310338
any_rptdist_2hr,0,13,0.11312417013650355,0.002416784515693269,0.9772295656889622
sighail_rptdist_2hr,1,13,-0.0001948348644134068,4.925033947555424e-05,0.9683344926161058
sigwind_rptdist_2hr,1,13,0.058702007465366246,0.0002251444090311051,0.9884530327447766
hailone_rptdist_2hr,1,13,0.023209190872355623,0.0005804504295333178,0.9780933870111158
wind_rptdist_2hr,1,13,0.11567258141824932,0.0019102095953732823,0.9813242769833408
torn_rptdist_2hr,1,13,0.052630490329588,0.00030253779963554747,0.9868214449152376
any_rptdist_2hr,1,13,0.1182983267913098,0.002416784515693269,0.9776305645287651
sighail_rptdist_2hr,2,13,0.003356647692514647,4.925033947555424e-05,0.9381435527125207
sigwind_rptdist_2hr,2,13,0.04449788166248936,0.0002251444090311051,0.9868128910126038
hailone_rptdist_2hr,2,13,0.01731832342661921,0.0005804504295333178,0.9739527611194683
wind_rptdist_2hr,2,13,0.08446230055272541,0.0019102095953732823,0.9819663312110287
torn_rptdist_2hr,2,13,0.044111031579886606,0.00030253779963554747,0.9899271398137807
any_rptdist_2hr,2,13,0.09495040119114007,0.002416784515693269,0.9772468332623048
sighail_rptdist_2hr,3,13,0.006038228662605172,4.925033947555424e-05,0.9711270741445096
sigwind_rptdist_2hr,3,13,0.07037858060198121,0.0002251444090311051,0.9872180058005333
hailone_rptdist_2hr,3,13,0.031887860415049096,0.0005804504295333178,0.9767881989943469
wind_rptdist_2hr,3,13,0.11600591003644023,0.0019102095953732823,0.9819247920430596
torn_rptdist_2hr,3,13,0.05938098788702695,0.00030253779963554747,0.9882680795262158
any_rptdist_2hr,3,13,0.11439380762839835,0.002416784515693269,0.97799338375783
sighail_rptdist_2hr,4,13,-0.0075256911463563725,4.925033947555424e-05,0.962932142756627
sigwind_rptdist_2hr,4,13,0.0348128625437496,0.0002251444090311051,0.9817128485246202
hailone_rptdist_2hr,4,13,0.00908324994895049,0.0005804504295333178,0.9757856924880864
wind_rptdist_2hr,4,13,0.11270974856599059,0.0019102095953732823,0.9791507259825604
torn_rptdist_2hr,4,13,0.05370603182150535,0.00030253779963554747,0.9853716391610571
any_rptdist_2hr,4,13,0.10722369237600471,0.002416784515693269,0.975595277647206
sighail_rptdist_2hr,5,13,0.002298892867283242,4.925033947555424e-05,0.9590406717273046
sigwind_rptdist_2hr,5,13,0.024854510620115344,0.0002251444090311051,0.9891719417448398
hailone_rptdist_2hr,5,13,0.01723444052447931,0.0005804504295333178,0.9761577698440812
wind_rptdist_2hr,5,13,0.1054892974889251,0.0019102095953732823,0.9817692319321186
torn_rptdist_2hr,5,13,0.04230280932215913,0.00030253779963554747,0.9883894831633983
any_rptdist_2hr,5,13,0.10697279725134179,0.002416784515693269,0.9777256337100605
sighail_rptdist_2hr,6,13,-0.0005794058274801728,4.925033947555424e-05,0.962371264328534
sigwind_rptdist_2hr,6,13,0.04901608327111362,0.0002251444090311051,0.9873435784646619
hailone_rptdist_2hr,6,13,0.019675774127310364,0.0005804504295333178,0.9720241198028714
wind_rptdist_2hr,6,13,0.11478751120013642,0.0019102095953732823,0.9795269996380683
torn_rptdist_2hr,6,13,0.045061380311583465,0.00030253779963554747,0.9843483214791227
any_rptdist_2hr,6,13,0.11490844200843231,0.002416784515693269,0.9749376957054738
sighail_rptdist_2hr,7,13,3.763628825115273e-05,4.925033947555424e-05,0.9472952693221613
sigwind_rptdist_2hr,7,13,0.046977077437062364,0.0002251444090311051,0.9877652145247328
hailone_rptdist_2hr,7,13,0.022269521759268884,0.0005804504295333178,0.9753265876646272
wind_rptdist_2hr,7,13,0.11220502345920058,0.0019102095953732823,0.9811611288909395
torn_rptdist_2hr,7,13,0.05327473747000011,0.00030253779963554747,0.9869577017780007
any_rptdist_2hr,7,13,0.11241214174768932,0.002416784515693269,0.9769979009683624
sighail_rptdist_2hr,8,13,-0.029852377254181883,4.925033947555424e-05,0.9558894999135564
sigwind_rptdist_2hr,8,13,0.07209162995488827,0.0002251444090311051,0.9866664812032456
hailone_rptdist_2hr,8,13,0.0010270798379271584,0.0005804504295333178,0.9757432187320569
wind_rptdist_2hr,8,13,0.10797451604342057,0.0019102095953732823,0.9800869621621378
torn_rptdist_2hr,8,13,0.053672351985934896,0.00030253779963554747,0.9900970517124665
any_rptdist_2hr,8,13,0.10629563150302157,0.002416784515693269,0.9759920083576287
sighail_rptdist_2hr,9,13,-0.0020492115232433328,4.925033947555424e-05,0.9359500456341947
sigwind_rptdist_2hr,9,13,0.04401011060928972,0.0002251444090311051,0.9868079703674902
hailone_rptdist_2hr,9,13,0.023380869874223387,0.0005804504295333178,0.9727757836871979
wind_rptdist_2hr,9,13,0.08788894805671132,0.0019102095953732823,0.9809220555469192
torn_rptdist_2hr,9,13,0.04823960205221567,0.00030253779963554747,0.987640254549097
any_rptdist_2hr,9,13,0.0867176996967659,0.002416784515693269,0.9762828750868928
sighail_rptdist_2hr,ensmean,13,0.0017718991580017995,4.925033947555424e-05,0.9610752381220424
sigwind_rptdist_2hr,ensmean,13,0.05461307024285811,0.0002251444090311051,0.9887294685395394
hailone_rptdist_2hr,ensmean,13,0.02739821872096837,0.0005804504295333178,0.9767834097636947
wind_rptdist_2hr,ensmean,13,0.12309428751007145,0.0019102095953732823,0.9825805260576833
torn_rptdist_2hr,ensmean,13,0.056976824995905506,0.00030253779963554747,0.988990854668512
any_rptdist_2hr,ensmean,13,0.12259657167525695,0.002416784515693269,0.9783742379509077
sighail_rptdist_2hr,0,14,0.004531538036094518,5.628610225777628e-05,0.9500249123998227
