class,mem,fhr,bss,base rate,auc
sighail_rptdist_2hr,0,12,-0.002151420015925609,3.733293511535877e-05,0.9592813604506037
sigwind_rptdist_2hr,0,12,0.04471155403905913,0.0002545427394229007,0.988046300099693
hailone_rptdist_2hr,0,12,0.01554275833829355,0.0005532062203457708,0.9743185983696205
wind_rptdist_2hr,0,12,0.1137467751013419,0.001870040658960244,0.9827834253219349
torn_rptdist_2hr,0,12,0.05485292099364247,0.00027490615857673275,0.9894338649186193
any_rptdist_2hr,0,12,0.11440048024767646,0.002338399299498381,0.9784155560048466
sighail_rptdist_2hr,1,12,-0.0008122547166642402,3.733293511535877e-05,0.946149550213901
sigwind_rptdist_2hr,1,12,0.05186902914398994,0.0002545427394229007,0.9857788444891046
hailone_rptdist_2hr,1,12,0.02635007188247629,0.0005532062203457708,0.9764572533887975
wind_rptdist_2hr,1,12,0.10825645367126524,0.001870040658960244,0.9827066972723143
torn_rptdist_2hr,1,12,0.057910495157830755,0.00027490615857673275,0.9904714484824138
any_rptdist_2hr,1,12,0.11105322894555647,0.002338399299498381,0.9794146209974837
sighail_rptdist_2hr,2,12,-0.008549242765679699,3.733293511535877e-05,0.957901995843856
sigwind_rptdist_2hr,2,12,0.03221229126703451,0.0002545427394229007,0.9849170035973217
hailone_rptdist_2hr,2,12,0.02010546260306989,0.0005532062203457708,0.9743569832033177
wind_rptdist_2hr,2,12,0.11144783670703295,0.001870040658960244,0.9801350780235124
torn_rptdist_2hr,2,12,0.04859491714116082,0.00027490615857673275,0.9918585115989198
any_rptdist_2hr,2,12,0.11237001339590302,0.002338399299498381,0.9763303749889902
sighail_rptdist_2hr,3,12,-0.0018440610176815309,3.733293511535877e-05,0.9573908857955221
sigwind_rptdist_2hr,3,12,0.055282192150717946,0.0002545427394229007,0.9891735665312155
hailone_rptdist_2hr,3,12,0.02026495722607724,0.0005532062203457708,0.9777527962127408
wind_rptdist_2hr,3,12,0.10271792064653851,0.001870040658960244,0.9832199393327877
torn_rptdist_2hr,3,12,0.04658932724417886,0.00027490615857673275,0.9913360630333115
any_rptdist_2hr,3,12,0.10456751162781996,0.002338399299498381,0.9793706733357963
sighail_rptdist_2hr,4,12,-0.015375458082421911,3.733293511535877e-05,0.9315390228587914
sigwind_rptdist_2hr,4,12,0.04225043752239643,0.0002545427394229007,0.9880598112735696
hailone_rptdist_2hr,4,12,0.018943941695057087,0.0005532062203457708,0.9718728021818169
wind_rptdist_2hr,4,12,0.11479214966528695,0.001870040658960244,0.9828587988207942
torn_rptdist_2hr,4,12,0.05026205911001802,0.00027490615857673275,0.9926964284853602
any_rptdist_2hr,4,12,0.11572255419141897,0.002338399299498381,0.9781601796532616
sighail_rptdist_2hr,5,12,0.0027147726211449452,3.733293511535877e-05,0.9543458238776175
sigwind_rptdist_2hr,5,12,0.054291032212445356,0.0002545427394229007,0.9875732053279741
hailone_rptdist_2hr,5,12,0.019228189538040397,0.0005532062203457708,0.9729350881316823
wind_rptdist_2hr,5,12,0.10307286525863868,0.001870040658960244,0.9814726737588558
torn_rptdist_2hr,5,12,0.05183272859373089,0.00027490615857673275,0.9910195050118893
any_rptdist_2hr,5,12,0.10220889658196286,0.002338399299498381,0.9767729473461045
sighail_rptdist_2hr,6,12,-0.005768394200716287,3.733293511535877e-05,0.9462388749099425
sigwind_rptdist_2hr,6,12,0.038725252227600926,0.0002545427394229007,0.9865540282874643
hailone_rptdist_2hr,6,12,0.005171080932727445,0.0005532062203457708,0.9715810149466688
wind_rptdist_2hr,6,12,0.11300844540216048,0.001870040658960244,0.9821920975755424
torn_rptdist_2hr,6,12,0.04548682994139197,0.00027490615857673275,0.990521428019094
any_rptdist_2hr,6,12,0.1131712219427714,0.002338399299498381,0.977439795468244
sighail_rptdist_2hr,7,12,-0.0013942293322362076,3.733293511535877e-05,0.9612676393133569
sigwind_rptdist_2hr,7,12,0.06394673586311284,0.0002545427394229007,0.9865736274107092
hailone_rptdist_2hr,7,12,0.019102278271296624,0.0005532062203457708,0.9744949915239829
wind_rptdist_2hr,7,12,0.11739033674152477,0.001870040658960244,0.9814810509919246
torn_rptdist_2hr,7,12,0.06897803892008758,0.00027490615857673275,0.9933076247817193
